placeholder	replacement	citation_keys
[REF: CellChat]	[@cellchat_jin_2021]	cellchat_jin_2021
[REF: CellPhoneDB]	[@cellphonedb_efremova_2020; @cellphonedb_troule_2025]	cellphonedb_efremova_2020;cellphonedb_troule_2025
[REF: NicheNet]	[@nichenet_browaeys_2020; @nichenet_protocol_sangaram_2025]	nichenet_browaeys_2020;nichenet_protocol_sangaram_2025
[REF: LIANA]	[@liana_plus_dimitrov_2024]	liana_plus_dimitrov_2024
[REF: graph Hodge decomposition]	[@hodge_rank_jiang_2011; @hodge_laplacians_lim_2020]	hodge_rank_jiang_2011;hodge_laplacians_lim_2020
[REF: cellular sheaves]	[@cellular_sheaves_hansen_2019]	cellular_sheaves_hansen_2019
