requirement	pinned_exact_version	has_local_reference	status
session-info2==0.1.2	True	False	pass
session_info==1.0.1	True	False	pass
sheafsurv==0.1.0	True	False	pass
simplejson==3.20.1	True	False	pass
six==1.17.0	True	False	pass
sniffio==1.3.1	True	False	pass
sortedcontainers==2.4.0	True	False	pass
sparse==0.17.0	True	False	pass
statsmodels==0.14.4	True	False	pass
stdlib-list==0.11.1	True	False	pass
sympy==1.13.3	True	False	pass
tblib==3.1.0	True	False	pass
tensorboard==2.19.0	True	False	pass
tensorboard-data-server==0.7.2	True	False	pass
tensorstore==0.1.75	True	False	pass
texttable==1.7.0	True	False	pass
threadpoolctl==3.6.0	True	False	pass
tifffile==2025.5.21	True	False	pass
toolz==1.0.0	True	False	pass
torch==2.7.0+cu118	True	False	pass
torchaudio==2.7.0+cu118	True	False	pass
torchmetrics==1.7.1	True	False	pass
torchvision==0.22.0+cu118	True	False	pass
tqdm==4.67.1	True	False	pass
treescope==0.1.9	True	False	pass
trio==0.30.0	True	False	pass
trio-websocket==0.12.2	True	False	pass
typing_extensions==4.13.2	True	False	pass
tzdata==2024.1	True	False	pass
umap-learn==0.5.7	True	False	pass
urllib3==2.4.0	True	False	pass
webdriver-manager==4.0.0	True	False	pass
Werkzeug==3.1.3	True	False	pass
widgetsnbextension==4.0.14	True	False	pass
wot==1.0.8.post2	True	False	pass
wrapt==1.17.2	True	False	pass
wsproto==1.2.0	True	False	pass
xarray==2025.4.0	True	False	pass
xenaPython @ git+https://github.com/ucscXena/xenaPython@f243bbff036f5b9e417a77efc95ccc76672ca306	True	False	pass
xlsxwriter==3.2.9	True	False	pass
xyzservices==2025.4.0	True	False	pass
yarl==1.20.0	True	False	pass
zarr==2.18.7	True	False	pass
zict==3.0.0	True	False	pass
zipp==3.21.0	True	False	pass
